section,code,display_name,base_price
Изоляция,800302,Изоляция системой Коффердам (Раббердам) при восстановлении зуба пломбой,1500.0
Изоляция,800303,Изоляция системой Коффердам (Раббердам) при лечении корневого канала зуба,2000.0
Изоляция,800304,"Изоляция системой Коффердам (Раббердам) при восстановлении зуба вкладками, виниром, полукоронкой, коронкой",3000.0
Неинвазивные,800400,Определение индексов гигиены полости рта,1500.0
Неинвазивные,800401,Определение пародонтальных индексов,1500.0
Неинвазивные,800402,Электроодонтодиагностика (ЭОД) в области 1-го зуба,800.0
Неинвазивные,800403,Глубокое фторирование эмали зуба при гиперчувствительности,800.0
Инвазивные,800500,Избирательное пришлифовывание твердых тканей зуба (диагностическое препарирование),2600.0
Инвазивные,800501,"Трепанация зуба, искусственной коронки",1000.0
Инвазивные,800502,"Удаление внутриканального штифта / вкладки (извлечение анкерного штифта, фиксированного инородного тела, отломков инструментов)",1800.0
Инвазивные,800503,Наложение временной пломбы (Септопак),1000.0
Инвазивные,800504,Наложение временной пломбы светового отверждения,1100.0
Инвазивные,800505,Снятие несъемной ортопедической конструкции,800.0
Инвазивные,800506,Удаление внутриканального штифта / вкладки в процессе ортопедического лечения,4500.0
Инвазивные,800507,Услуги по изготовлению ортопедической конструкции стоматологической: временная фиксация несъемной конструкции,1000.0
Функциональная диагностика и планирование,800600,Антропометрические исследования (медицинское фотографирование),1100.0
Анализ моделей,800700,Исследование на диагностических моделях челюстей. Модель напечатанная на 3D принтере,3500.0
Анализ моделей,800701,Исследование на диагностических моделях челюстей. Гипсовая модель,1000.0
Анализ моделей,800702,Загипсовка моделей в артикулятор,1000.0
Анализ моделей,800703,Исследование на диагностических моделях челюстей в ортодонтии,2000.0
Анализ моделей,800704,Антропометрические исследования моделей челюстей (1 челюсть),2600.0
Анализ моделей,800705,Изготовление контрольной модели: гипсовка модели в артикуляторе с применением лицевой дуги,5000.0
Анализ моделей,800706,Анализ моделей в артикуляторе,7500.0
Анализ моделей,800707,Загипсовка моделей в артикулятор с помощью лицевой дуги,1500.0
Анализ и коррекция прикуса,800800,Кондилография височно-нижнечелюстного сустава,50000.0
Анализ и коррекция прикуса,800801,Определение вида смыкания зубных рядов с помощью лицевой дуги (малый функциональный анализ),25000.0
Анализ и коррекция прикуса,800802,Определение прикуса,1100.0
Анализ и коррекция прикуса,800803,Определение конструктивного прикуса при помощи воскового шаблона с прикусными валиками,2500.0
Анализ и коррекция прикуса,800804,Определение конструктивного прикуса при помощи воскового шаблона с винтовой фиксацией на дентальных имплантатах,7000.0
Анализ и коррекция прикуса,800805,"Исследование на диагностических моделях челюстей с восковой моделировкой (Wax-Up) будущей ортопедической конструкции с целью планирования препарирования, эстетики и функции (1 единица)",2000.0
Анализ и коррекция прикуса,800806,"Определение прикуса при помощи примерки в полости рта результата воскового моделирования (Mock-Up) из временного композитного материала, планирования эстетики и функции (1 единица)",1000.0
Анализ и коррекция прикуса,800807,Коррекция прикуса с использованием съемных и несъемных ортопедических конструкций: изготовление межокклюзионной разобщающей сплинт-шины,25000.0
Анализ и коррекция прикуса,800808,Определение вида смыкания зубных рядов с помощью окклюзионной шины,9000.0
Анализ и коррекция прикуса,800809,Услуги по изготовлению ортопедической конструкции стоматологической: изготовление каппы при бруксизме,6500.0
Анализ и коррекция прикуса,800810,Изготовление боксерской шины,17500.0
Хирургическое планирование,800900,Исследование на диагностических моделях челюстей: изготовление хирургического шаблона для позиционирования имплантатов (до трех единиц),16600.0
Хирургическое планирование,800901,Исследование на диагностических моделях челюстей: позиционирование дополнительного имплантата в хирургическом шаблоне для имплантации,1900.0
Использование операционного микроскопа,801000,Осмотр полости рта с помощью дополнительных инструментов (Использование операционного микроскопа),6000.0
Использование операционного микроскопа,801001,Сошлифовывание твердых тканей зуба с использованием операционного микроскопа,12000.0
Использование операционного микроскопа,801002,Инструментальная и медикаментозная обработка корневого канала с использованием операционного микроскопа,4000.0
Использование операционного микроскопа,801003,Удаление наддесневых и поддесневых зубных отложений с использованием операционного микроскопа,6000.0
Использование операционного микроскопа,801004,Наложение шва на слизистую оболочку рта с использованием операционного микроскопа,1200.0
Профессиональная гигиена и стоматологическое СПА,802000,Профессиональное отбеливание зубов,35000.0
Профессиональная гигиена и стоматологическое СПА,802001,Профессиональная гигиена полости рта и зубов по технологии GBT,19200.0
Профессиональная гигиена и стоматологическое СПА,802002,Профессиональная гигиена полости рта и зубов,9900.0
Профессиональная гигиена и стоматологическое СПА,802003,"Обучение гигиене полости рта и зубов индивидуальное, подбор средств и предметов гигиены полости рта.",1200.0
Профессиональная гигиена и стоматологическое СПА,802004,Избирательное пришлифовывание твердых тканей зуба и полировка пастами (2 челюсти),2500.0
Профилактическая стоматология и пародонтология,803000,Профессиональная гигиена полости рта и зубов (диагностическая гигиена полости рта и зубов),5900.0
Профилактическая стоматология и пародонтология,803001,Ультразвуковое удаление наддесневых и поддесневых зубных отложений аппаратом VECTOR в области 1-й челюсти,13000.0
Профилактическая стоматология и пародонтология,803002,Ультразвуковое удаление наддесневых и поддесневых зубных отложений аппаратом VECTOR в области 1-го зуба,1200.0
Профилактическая стоматология и пародонтология,803003,Введение лекарственных препаратов в пародонтальный карман,800.0
Профилактическая стоматология и пародонтология,803004,Наложение лечебной повязки при заболеваниях слизистой оболочки полости рта и пародонта в области одной челюсти при пародонтологическом лечении,800.0
Профилактическая стоматология и пародонтология,803005,"Временное шинирование при заболеваниях пародонта в области 1го зуба материалом светового отверждения с использованием каркасной ленты Риббонт, Фибер-Сплинт, Гласспан",4100.0
Профилактическая стоматология и пародонтология,803006,Глубокое фторирование эмали зуба,700.0
Профилактическая стоматология и пародонтология,803007,Местное применение реминерализующих препаратов в области зуба,1100.0
Профилактическая стоматология и пародонтология,803008,Удаление наддесневых и поддесневых зубных отложений,600.0
Профилактическая стоматология и пародонтология,803009,Аппликация лекарственного препарата на слизистую оболочку полости рта,900.0
Профилактическая стоматология и пародонтология,803010,"Наложение лечебной повязки при заболеваниях слизистой оболочки полости рта и пародонта в области одной челюсти (Септопак, Диплен, Фармадонт)",1100.0
Профилактическая стоматология и пародонтология,803011,"Фторирование твердых тканей зубов (фторлак, фторгель) 1 зуб",500.0
Общие терапевтические манипуляции,804000,Наложение девитализирующей пасты,1200.0
Общие терапевтические манипуляции,804001,"Восстановление зуба пломбой при лечении некариозных поражений (эрозия, клиновидный дефект, гипоплазия)",9000.0
Общие терапевтические манипуляции,804002,Запечатывание фиссуры зуба герметиком профилактическое,3900.0
Общие терапевтические манипуляции,804003,"Наложение временной пломбы (наложение лечебной прокладки Dycal, Septocalcine)",1000.0
Общие терапевтические манипуляции,804004,"Наложение временной пломбы (наложение прокладки из стеклоиномерного цемента Фуджи VIII, Витребонд, Ионозит)",1100.0
Общие терапевтические манипуляции,804005,"Восстановление зуба пломбой (изготовление временной реставрации прямым методом из композита светового отверждения, полировка)",2500.0
Общие терапевтические манипуляции,804006,"Восстановление зуба пломбой с нарушением контактного пункта II, III класс по Блэку с использованием материалов из фотополимеров восстановление разрушенной стенки зуба для доступа к корневым каналам",2600.0
Общие терапевтические манипуляции,804007,"Избирательное пришлифовывание твердых тканей зуба (шлифовка, полировка пломбы)",1200.0
Восстановление небольших дефектов,805000,"Восстановление зуба пломбой I, V, VI класс по Блэку с использованием материалов из фотополимеров",5500.0
Восстановление небольших дефектов,805001,"Восстановление зуба пломбой с нарушением контактного пункта II, III класс по Блэку с использованием материалов из фотополимеров",6500.0
Восстановление небольших дефектов,805002,Восстановление зуба пломбой IV класс по Блэку с использованием материалов из фотополимеров,8000.0
Эстетические реставрации и подготовка к протезированию,806000,Восстановление зуба пломбой (эстетическая реставрация жевательной группы),8900.0
Эстетические реставрации и подготовка к протезированию,806001,Восстановление зуба пломбой (эстетическая реставрация фронтальной группы),9400.0
Эстетические реставрации и подготовка к протезированию,806002,"Восстановление зуба вкладками, виниром, полукоронкой (художественная реставрация фронтальной группы зубов винирами из светоотверждаемого материала)",10700.0
Эстетические реставрации и подготовка к протезированию,806003,Восстановление зуба пломбировочными материалами с использованием титановых анкерных и стекловолоконных штифтов (build up),10000.0
Эндодонтическое лечение зуба,807000,"Распломбировка корневого канала ранее леченного пастой, гуттаперчевыми штифтами",1400.0
Эндодонтическое лечение зуба,807001,Распломбировка корневого канала ранее леченного фосфат-цементом / резорцин-формальдегидным методом,1900.0
Эндодонтическое лечение зуба,807002,"Инструментальная и медикаментозная обработка корневого канала с использованием машинных инструментов (Mtwo, Pro - Taper - инструменты)",2300.0
Эндодонтическое лечение зуба,807003,Ультразвуковое расширение корневого канала зуба,500.0
Эндодонтическое лечение зуба,807004,Инструментальная и медикаментозная обработка корневого канала,600.0
Эндодонтическое лечение зуба,807005,Инструментальная и медикаментозная обработка корневого канала (диагностическая ревизия корневого канала),500.0
Эндодонтическое лечение зуба,807006,"Временное пломбирование лекарственным препаратом корневого канала (Metapex, Metapaste, Calasept)",1100.0
Эндодонтическое лечение зуба,807007,Пломбирование корневого канала зуба пастой,1400.0
Эндодонтическое лечение зуба,807008,Пломбирование корневого канала зуба пастой (методом латеральной конденсации),1900.0
Эндодонтическое лечение зуба,807009,Пломбирование корневого канала зуба пастой (методом трехмерной конденсации),2200.0
Эндодонтическое лечение зуба,807010,Временное пломбирование лекарственным препаратом корневого канала: внутриканальное отбеливание,2600.0
Эндодонтическое лечение зуба,807011,Закрытие перфорации стенки корневого канала зуба,2200.0
Удаление зубов,808000,"Операция удаления ретинированного, дистопированного или сверхкомплектного зуба с разъединением корней",16800.0
Удаление зубов,808001,"Операция удаления ретенированного, дистопированного или сверхкомплектного зуба",12500.0
Удаление зубов,808002,Операция удаления дистопированного или сверхкомплектного зуба,5500.0
Удаление зубов,808003,Удаление зуба интраоперационное,5500.0
Удаление зубов,808004,Удаление постоянного зуба сложное с разъединением корней,5200.0
Удаление зубов,808005,Удаление постоянного зуба (многокорневого),3800.0
Удаление зубов,808006,Удаление постоянного зуба (однокорневого),2600.0
Удаление зубов,808007,Кюретаж лунки после удаления зуба,500.0
Удаление зубов,808008,Отсроченный кюретаж лунки удаленного зуба,1600.0
Удаление зубов,808009,Наложение повязки при операциях в полости рта c использованием коллагенового материала,1100.0
Удаление зубов,808010,Наложение повязки при операциях в полости рта: перевязка или осмотр после операции (механическая и медикаментозная обработка послеоперационной раны),800.0
Удаление зубов,808011,Внутрикостная дентальная имплантация: извлечение интегрированного имплантата,6800.0
Удаление зубов,808012,Внутрикостная дентальная имплантация: извлечение дезинтегрированного имплантата,3000.0
Острые состояния,808300,Удаление подвижной стенки зуба,800.0
Острые состояния,808301,Вскрытие и дренирование одонтогенного абсцесса,2500.0
Острые состояния,808302,Вскрытие и дренирование абсцесса полости рта,2500.0
Острые состояния,808303,"Лечение перикоронарита (промывание, рассечение и/или иссечение капюшона)",2200.0
Острые состояния,808304,Коррекция объема и формы альвеолярного отростка,9800.0
Острые состояния,808305,Пластика альвеолярного отростка: удаление костного выступа в области 1го зуба,1200.0
Острые состояния,808306,Пластика перфорации верхнечелюстной пазухи,14800.0
Острые состояния,808307,Пластика перфорации верхнечелюстной пазухи с закрытием ороантрального свища,26200.0
Зубосохраняющие и прочие операции,808400,Резекция верхушки корня с ретроградной пломбировкой 1го канала,14600.0
Зубосохраняющие и прочие операции,808401,Цистэктомия с применением пьезохирургического аппарата Mectron,8000.0
Зубосохраняющие и прочие операции,808402,Пластика альвеолярного отростка: обнажение коронки ретенированного зуба,3300.0
Зубосохраняющие и прочие операции,808403,Пластика альвеолярного отростка: клиническое удлинение коронковой части в области 1го зуба с применением пьезохирургического аппарата,6000.0
Зубосохраняющие и прочие операции,808404,Микрохирургическая операция в области одного канала зуба с применением микроскопа (без стоимости работы и расходного материала),11800.0
Забор материала на исследование,808500,Иссечение новообразования мягких тканей,2800.0
Забор материала на исследование,808501,Биопсия слизистых полости рта,3600.0
Забор материала на исследование,808502,Широкое иссечение новообразования мягких тканей,4600.0
Забор материала на исследование,808503,Цистэктомия ретенционной кисты,6200.0
Забор материала на исследование,808504,Удаление камней из протоков слюнных желез,6800.0
Забор материала на исследование,808505,Соскоб слизистых полости рта,3800.0
Костнопластические операции,808600,Пластика альвеолярного отростка. Направленная костная регенерация альвеолярного отростка,21200.0
Костнопластические операции,808601,"Синус-лифтинг (костная пластика, остеопластика) открытый без стоимости костно-пластических материалов",25400.0
Костнопластические операции,808602,"Синус-лифтинг (костная пластика, остеопластика) закрытый без стоимости костно-пластических материалов",18000.0
Костнопластические операции,808603,Костная пластика челюстно-лицевой области: забор аутокостного блока из области косой линии нижней челюсти,19500.0
Костнопластические операции,808604,Костная пластика челюстно-лицевой области: забор аутокости из донорских участков полости рта,17900.0
Кость,808700,"Костная пластика челюстно-лицевой области с применением костно-пластического материала Geistlich Bio-Oss Spongiosa granulat, в гранулах размером 0,25-1 мм, 0.25 г.",18800.0
Кость,808701,"Костная пластика челюстно-лицевой области с применением костно-пластического материала Geistlich Bio-Oss Spongiosa granulat, в гранулах размером 0,25-1 мм, 0.5 г",21400.0
Кость,808702,"Костная пластика челюстно-лицевой области с применением костно-пластического материала Geistlich Bio-Oss Spongiosa granulat, в гранулах размером 0,25-1 мм, 1.0 г",38200.0
Кость,808703,"Костная пластика челюстно-лицевой области : применение костно-пластического материала Geistlich Bio-Oss Spongiosa granulat, в гранулах размером 1-2 мм, 1.0 г",38200.0
Кость,808704,"Костная пластика челюстно-лицевой области : применение материала для замещения костной ткани ""XenoGraft"" в гранулах размером 1,0-2,0 мм; флакон 0,5 г.",27100.0
Кость,808705,"Костная пластика челюстно-лицевой области : применение материала для замещения костной ткани ""XenoGraft"" в гранулах размером 0,2-1,0 мм; флакон 1,0 г.",58700.0
Мембраны,808800,"Костная пластика челюстно-лицевой области : применение биорезорбируемой коллагеновой мембраны ""Geistlich Bio-Gide Shape"" 14x24 мм",26400.0
Мембраны,808801,"Костная пластика челюстно-лицевой области : применение биорезорбируемой коллагеновой мембраны ""Geistlich Bio-Gide Perio"" 25х25мм",32400.0
Мембраны,808802,"Костная пластика челюстно-лицевой области : применение биорезорбируемой коллагеновой мембраны ""Geistlich Bio-Gide Compressed"" 20х30 мм",34800.0
Мембраны,808803,"Костная пластика челюстно-лицевой области : применение мембраны коллагеновой рассасывающейся Straumann Membrane Flex, размер: 15мм x 20мм",31200.0
Мембраны,808804,"Костная пластика челюстно-лицевой области : применение мембраны коллагеновой рассасывающейся Straumann Membrane Flex, размер: 20мм x 30мм",53700.0
Мембраны,808805,"Костная пластика челюстно-лицевой области : применение нерезорбируемой мембраной с титановым усилением ""Cytoplast"" 30х40",47000.0
Мембраны,808806,"Лоскутная операция в полости рта : применение мембраны биорезорбируемой коллагеновой защитной ""Mucograft"" 15х20 мм",34700.0
Мембраны,808807,"Лоскутная операция в полости рта : применение мембраны биорезорбируемой коллагеновой защитной ""Mucograft"" 20х30 мм",53900.0
Вспомогательные материалы,808900,"Костная пластика челюстно-лицевой области : применение материалов Emdogain 0,3 мл (30 мг/мл) и Straumann PrefGel 0,6 мл (24% EDTA)",37100.0
Вспомогательные материалы,808901,Костная пластика челюстно-лицевой области : применение титанового микровинта (1 единица),5900.0
Вспомогательные материалы,808902,Костная пластика челюстно-лицевой области: установка пина для фиксации мембраны (1 единица),3900.0
Вспомогательные материалы,808903,Костная пластика челюстно-лицевой области : применение костного скребка Micross / Safescraper,16300.0
Манипуляции с мягкими тканями,809000,Наложение шва на слизистую оболочку рта,300.0
Манипуляции с мягкими тканями,809001,Снятие послеоперационных швов (лигатур),300.0
Манипуляции с мягкими тканями,809002,Гингивэктомия (в области 1го зуба),1200.0
Манипуляции с мягкими тканями,809003,Вестибулопластика: Иссечение тяжа (хирургический метод),1900.0
Манипуляции с мягкими тканями,809004,"Пластика уздечки языка, нижней и верхней губы",5500.0
Манипуляции с мягкими тканями,809005,Диатермокоагуляция при патологии полости рта и зубов,3400.0
Манипуляции с мягкими тканями,809006,Открытый кюретаж при заболеваниях пародонта в области 1го зуба (с использованием операционного микроскопа),8900.0
Манипуляции с мягкими тканями,809007,Лоскутная операция в полости рта с пластикой рецессии десны в области 1 зуба,12600.0
Манипуляции с мягкими тканями,809008,Лоскутная операция в полости рта с пластикой рецессии десны с пересадкой мягкотканного трансплантата в области 1 зуба,22400.0
Манипуляции с мягкими тканями,809009,Лоскутная операция в полости рта с пластикой рецессии десны с пересадкой мягкотканного трансплантата в области 2-3 зубов,37200.0
Манипуляции с мягкими тканями,809010,Вестибулопластика с воссозданием зоны прикрепленной десны в области 1-3 зубов или имплантатов,9800.0
Манипуляции с мягкими тканями,809011,Вестибулопластика с воссозданием зоны прикрепленной десны в области 4-6 зубов или имплантатов,14500.0
Дентальная имплантация,809100,Внутрикостная дентальная имплантация: установка имплантата Astra Tech (Швеция),74000.0
Дентальная имплантация,809101,Внутрикостная дентальная имплантация: установка заглушки дентального имплантата Astra Tech (Швеция),7200.0
Дентальная имплантация,809102,Внутрикостная дентальная имплантация: установка имплантата Straumann (Швейцария),65900.0
Дентальная имплантация,809103,Внутрикостная дентальная имплантация: установка заглушки дентального имплантата Straumann (Швейцария),5100.0
Дентальная имплантация,809104,Внутрикостная дентальная имплантация: установка импланта Osstem (Южная Корея),44600.0
Дентальная имплантация,809105,Внутрикостная дентальная имплантация: раскрытие дентального имплантата,9400.0
Дентальная имплантация,809106,Внутрикостная дентальная имплантация: установка формирователя десны на имплантат Astra Tech (Швеция),11500.0
Дентальная имплантация,809107,Внутрикостная дентальная имплантация: установка формирователя десны на имплантат Straumann (Швейцария),8900.0
Дентальная имплантация,809108,Внутрикостная дентальная имплантация: установка формирователя десны на имплантат Osstem (Южная Корея),6200.0
Дентальная имплантация,809109,Внутрикостная дентальная имплантация ортодонтического имплантата,18000.0
Дентальная имплантация,809110,Внутрикостная дентальная имплантация: установка заживляющего колпачка на мультиюнит Astra Tech (Швеция),6600.0
Дентальная имплантация,809111,Внутрикостная дентальная имплантация: установка заживляющего колпачка на мультиюнит Straumann (Швейцария),7000.0
Дентальная имплантация,809112,Внутрикостная дентальная имплантация: установка заживляющего колпачка на мультиюнит Osstem (Южная Корея),4400.0
Общие манипуляции,810000,Ортодонтическая коррекция с применением брекет-систем: плановая активация брекет-системы в рамках разработанного лечения (1 зубной ряд),4300.0
Общие манипуляции,810001,Ортодонтическая коррекция с применением брекет-систем: плановый приём врача-ортодонта в рамках разработанного лечения,3600.0
Общие манипуляции,810002,Ортодонтическая коррекция: снятие ортодонтического аппарата,2500.0
Общие манипуляции,810003,Ортодонтическая коррекция: фиксация несъёмного ретейнера (1зуб),1600.0
Общие манипуляции,810004,Ортодонтическая коррекция: фиксация несъёмного ретейнера (до 6 зубов),7000.0
Общие манипуляции,810005,Ортодонтическая коррекция с применением брекет-систем: снятие ретейнеров (1 зубной ряд),6000.0
Общие манипуляции,810006,Избирательное пришлифовывание твердых тканей зуба (сепарация),1200.0
Общие манипуляции,810007,Ортодонтическая коррекция с применением брекет-систем: фиксация эластичной лигатуры,600.0
Общие манипуляции,810008,Ортодонтическая коррекция несъемным ортодонтическим аппаратом: фиксация трубки (кнопки),700.0
Общие манипуляции,810009,Ортодонтическая коррекция съемным ортодонтическим аппаратом: применение ретенционной каппы (1 челюсть),12000.0
Общие манипуляции,810010,Ортодонтическая коррекция с применением брекет-систем: активация брекет системы без смены ортодонтической дуги,3500.0
Общие манипуляции,810011,Ортодонтическая коррекция с применением брекет-систем: активация брекет системы со сменой ортодонтической дуги,6900.0
Общие манипуляции,810012,Ортодонтическая коррекция с применением брекет-систем: использование замка,1200.0
Общие манипуляции,810013,Ортодонтическая коррекция с применением брекет-систем: повторная фиксация 1го брекета,2000.0
Общие манипуляции,810014,"Ортодонтическая коррекция с применением брекет-систем: снятие брекет системы, обработка поверхности зубов (1 зуб)",1200.0
Общие манипуляции,810015,Коррекция съемного ортодонического аппарата,1500.0
Общие манипуляции,810016,Ремонт ортодонического аппарата,6200.0
Общие манипуляции,810017,Припасовка и наложение ортодонтического аппарата,1000.0
Общие манипуляции,810018,Ортодонтическая коррекция брекет-системы с интервалом посещений 4 нед.,6000.0
Общие манипуляции,810019,Ортодонтическая коррекция: наложение дуги металлической,1500.0
Виды лечения (аппараты),810100,Ортодонтическая коррекция: лечение на ортодонтическом мини имплантате включая стоимость расходного материала (в области 1 зуба),28800.0
Виды лечения (аппараты),810101,Ортодонтическая коррекция: исправление аномалий прикуса и положения зубов с помощью двухчелюстных аппаратов,28000.0
Виды лечения (аппараты),810102,Ортодонтическая коррекция: исправление аномалий прикуса и положения зубов с помощью пластинки с винтом (на одной челюсти),17300.0
Виды лечения (аппараты),810103,Ортодонтическая коррекция: исправление аномалий прикуса и положения зубов с помощью простой пластинки (на одной челюсти),13300.0
Виды лечения (аппараты),810104,Услуги по обслуживанию ортодонтических аппаратов: изготовление пластинки (первичной),9000.0
Виды лечения (аппараты),810105,Услуги по обслуживанию ортодонтических аппаратов: изготовление пластинки с 1 винтом,12000.0
Виды лечения (аппараты),810106,Услуги по обслуживанию ортодонтических аппаратов: изготовление пластинки с 2 винтами,14000.0
Виды лечения (аппараты),810107,"Ортодонтическая коррекция несъемным ортодонтическим аппаратом: изготовление сложного двухчелюстного аппарата, регуляторов и различных модификаций функциональных аппаратов",25000.0
Лечение с применением элайнеров,810200,Изготовление элайнера,9400.0
Лечение с применением элайнеров,810201,Ортодонтическая коррекция съемным ортодонтическим аппаратом: диагностика и планирование,32000.0
Лечение с применением элайнеров,810202,Ортодонтическая коррекция съемным ортодонтическим аппаратом: пакет Флексилайнер от 1 до 5 элайнеров,160000.0
Лечение с применением элайнеров,810203,Ортодонтическая коррекция съемным ортодонтическим аппаратом: пакет Флексилайнер от 6 до 10 элайнеров,250000.0
Лечение с применением элайнеров,810204,Ортодонтическая коррекция съемным ортодонтическим аппаратом: пакет Флексилайнер от 11 до 16 элайнеров,320000.0
Лечение с применением элайнеров,810205,Ортодонтическая коррекция съемным ортодонтическим аппаратом: пакет Флексилайнер от 17 до 32 элайнеров,360000.0
Лечение с применением элайнеров,810206,Ортодонтическая коррекция съемным ортодонтическим аппаратом: пакет Флексилайнер от от 33 элайнеров и без ограничения,380000.0
Лечение с применением брекет-систем,810300,Ортодонтическая коррекция с применением брекет-систем: прямая фиксация брекет-системы (1 челюсть),18200.0
Лечение с применением брекет-систем,810301,Ортодонтическая коррекция с применением брекет-систем: эстетические самолигирующиеся брекеты Clarity SL (1 зубной ряд),67000.0
Лечение с применением брекет-систем,810302,Ортодонтическая коррекция с применением брекет-систем: эстетические самолигирующиеся брекеты ASTAR Orthodonthics(1 зубной ряд),67000.0
Лечение с применением брекет-систем,810303,Ортодонтическая коррекция с применением брекет-систем: керамическая брекет-система Aspire (1 зубной ряд),50500.0
Лечение с применением брекет-систем,810304,Ортодонтическая коррекция с применением брекет-систем: брекет- систем Detntaurum Standart Edgewise(1 зубной ряд),35000.0
Лечение с применением брекет-систем,810305,Ортодонтическая коррекция c применением брекет-систем: фиксация металлической брекет-системы,25000.0
Лечение с применением брекет-систем,810306,Ортодонтическая коррекция c применением брекет-систем: фиксация керамической  брекет-системы,30000.0
Лечение с применением брекет-систем,810307,"Ортодонтическая коррекция с применением брекет-систем: снятие брекет системы, обработка поверхности зубов (1 зубной ряд)",14000.0
Лечение с применением брекет-систем,810308,Ортодонтическая коррекция с применением брекет-систем: фиксация частичной брекет-системы (замка) на моляр,1300.0
Лечение с применением брекет-систем,810309,Ортодонтическая коррекция с применением брекет-систем: дополнительный брекет металлический,4800.0
Лечение с применением брекет-систем,810310,Ортодонтическая коррекция с применением брекет-систем: дополнительный брекет керамический,5500.0
Несъемное протезирование,810400,"Сошлифовывание твердых тканей зуба для последующего восстановления вкладкой, накладкой, полукоронкой, коронкой, виниром",3000.0
Фиксация,810500,Услуги по изготовлению ортопедической конструкции стоматологической: постоянная фиксация несъемной конструкции,800.0
Фиксация,810501,"Услуги по изготовлению ортопедической конструкции стоматологической: фиксация безметалловой коронки, вкладки, винира",2800.0
Фиксация,810502,Повторная фиксация на постоянный цемент несъемных ортопедических конструкций,3000.0
Фиксация,810503,Восстановление зуба коронкой: закрытие трансокклюзионной шахты винта в коронке композитным материалом,2000.0
Временное протезирование,810600,"Восстановление зуба коронкой временной, изготовленной клиническим путём",3000.0
Временное протезирование,810601,"Восстановление зуба вкладками, виниром, полукоронкой: винир временный, изготовленный клиническим путём",3500.0
Временное протезирование,810602,"Восстановление зуба коронкой временной, изготовленной лабораторным путём",7000.0
